movie_id,count,average
1,49695,3.8247107354864673
3,12735,3.0895956026698075
5,12161,3.0030425129512377
8,1415,3.0996466431095406
9,3960,2.975
13,1461,3.190965092402464
16,17394,3.6822467517534783
19,20938,2.489874868659853
22,9928,3.2455680902497988
24,7971,3.1259565926483504
25,21553,3.635735164478263
31,9435,3.1564387917329095
33,65,2.953846153846154
37,85,2.9529411764705884
38,552,2.7971014492753623
40,886,3.6173814898419865
42,2467,3.010944466963924
46,3205,3.239625585023401
47,43249,3.9449004601262456
49,236,3.5211864406779663
50,47006,4.231395992001021
52,9320,3.495708154506438
60,6313,3.0403928401710756
61,2281,3.3051293292415607
63,2334,2.98586118251928
65,4864,2.2898848684210527
66,2371,2.0940531421341206
70,12712,3.163703587161737
76,3380,2.964201183431953
77,221,3.411764705882353
80,575,3.690434782608696
87,976,2.2920081967213113
89,3247,3.0856174930705267
90,214,3.3457943925233646
93,1966,2.479145473041709
98,81,2.432098765432099
103,1133,3.2515445719329215
118,1136,2.9903169014084505
125,3518,3.705230244457078
127,41,3.1951219512195124
128,75,3.453333333333333
129,190,3.1210526315789475
130,39,2.9743589743589745
132,2123,2.745642958078191
133,19,2.473684210526316
137,226,3.269911504424779
142,41,3.048780487804878
145,11975,3.1301878914405012
153,32867,2.822922688410868
156,1663,3.5003006614552015
167,79,3.1392405063291138
170,7875,3.0966349206349206
172,12706,2.6401699984259404
176,2363,3.805755395683453
178,500,3.366
179,1229,2.7168429617575263
187,943,3.391304347826087
191,1664,2.625
193,7464,2.135316184351554
194,5937,3.797203975071585
195,3242,3.0619987661937076
199,1516,3.721635883905013
201,365,3.0027397260273974
202,389,2.9254498714652954
203,5429,3.092097992263769
204,8335,2.8911817636472708
206,1038,3.4633911368015413
210,482,2.8506224066390042
219,633,3.5876777251184833
220,275,2.3563636363636364
229,2428,3.5247116968698515
233,3478,3.49252443933295
238,834,3.1498800959232613
239,3178,2.9672750157331653
242,1076,3.3550185873605947
245,255,2.9568627450980394
247,7681,3.76578570498633
249,4950,3.6391919191919193
250,892,2.908071748878924
258,1710,2.5982456140350876
262,4217,3.7052406924353805
264,159,3.2767295597484276
266,16171,3.437264238451549
269,600,3.453333333333333
285,86,2.2906976744186047
290,4042,3.9158832261256804
292,26246,3.355025527699459
295,469,2.771855010660981
299,2626,3.703731911652704
300,20601,3.620698024367749
301,469,3.511727078891258
303,6945,2.9645788336933045
305,3429,2.668416447944007
311,81,2.6419753086419755
316,31799,3.286958709393377
318,63366,4.354969542025692
320,319,3.2225705329153604
324,469,3.6204690831556503
329,26404,3.280412058778973
330,1536,2.7845052083333335
336,295,2.840677966101695
345,10312,3.558475562451513
346,1129,3.3799822852081487
347,1542,3.356679636835279
350,15833,3.417608791764037
352,1343,3.2285927029039465
353,16524,3.4311304768821107
356,66172,3.934549356223176
357,27699,3.5776020794974546
362,7629,3.3215362432822126
367,34384,3.074191484411354
375,254,3.251968503937008
376,11294,3.2318044979635205
380,43159,3.4140272017423943
381,4925,3.359796954314721
382,5419,2.970289721350803
385,128,3.53125
